tenant_id,service_name,timestamp_hour,requests,errors,error_rate_pct,p50_latency_ms,p95_latency_ms
tenant-demo,checkout-api,2025-01-01T00:00:00+00:00,533,25,4.69,122,243
tenant-demo,data-ingestor,2025-01-01T00:00:00+00:00,243,17,7.0,268,2270
tenant-demo,ml-serving,2025-01-01T00:00:00+00:00,410,32,7.8,183,3534
tenant-demo,payment-gw,2025-01-01T00:00:00+00:00,364,19,5.22,148,1034
tenant-demo,platform-infra,2025-01-01T00:00:00+00:00,60,2,3.33,41,63
tenant-demo,checkout-api,2025-01-01T01:00:00+00:00,538,31,5.76,120,2333
tenant-demo,data-ingestor,2025-01-01T01:00:00+00:00,238,16,6.72,247,2997
tenant-demo,ml-serving,2025-01-01T01:00:00+00:00,412,21,5.1,183,381
tenant-demo,payment-gw,2025-01-01T01:00:00+00:00,349,24,6.88,144,2625
tenant-demo,platform-infra,2025-01-01T01:00:00+00:00,60,3,5.0,38,73
tenant-demo,checkout-api,2025-01-01T02:00:00+00:00,544,42,7.72,120,2586
tenant-demo,data-ingestor,2025-01-01T02:00:00+00:00,237,14,5.91,252,1666
tenant-demo,ml-serving,2025-01-01T02:00:00+00:00,418,32,7.66,184,2826
tenant-demo,payment-gw,2025-01-01T02:00:00+00:00,355,20,5.63,141,1828
tenant-demo,platform-infra,2025-01-01T02:00:00+00:00,60,5,8.33,46,1893
tenant-demo,checkout-api,2025-01-01T03:00:00+00:00,542,23,4.24,123,223
tenant-demo,data-ingestor,2025-01-01T03:00:00+00:00,244,17,6.97,252,2068
tenant-demo,ml-serving,2025-01-01T03:00:00+00:00,419,24,5.73,185,1957
tenant-demo,payment-gw,2025-01-01T03:00:00+00:00,358,25,6.98,145,2363
tenant-demo,platform-infra,2025-01-01T03:00:00+00:00,60,3,5.0,42,81
tenant-demo,checkout-api,2025-01-01T04:00:00+00:00,534,38,7.12,123,3420
tenant-demo,data-ingestor,2025-01-01T04:00:00+00:00,242,10,4.13,254,439
tenant-demo,ml-serving,2025-01-01T04:00:00+00:00,422,20,4.74,175,334
tenant-demo,payment-gw,2025-01-01T04:00:00+00:00,375,20,5.33,143,1715
tenant-demo,platform-infra,2025-01-01T04:00:00+00:00,60,1,1.67,39,61
tenant-demo,checkout-api,2025-01-01T05:00:00+00:00,533,30,5.63,124,1451
tenant-demo,data-ingestor,2025-01-01T05:00:00+00:00,243,13,5.35,264,1641
tenant-demo,ml-serving,2025-01-01T05:00:00+00:00,415,29,6.99,185,2675
tenant-demo,payment-gw,2025-01-01T05:00:00+00:00,363,19,5.23,142,1156
tenant-demo,platform-infra,2025-01-01T05:00:00+00:00,60,2,3.33,42,63
